stock_no,stock_name,obs_day,average_stock_p,trade_day,no_trade_day,return_rate,mse,rmse,mape,r2,current_stock_price,yesterday_stock_price,predict_state,predict_stock_price,rmse_10,rmse_20,mape_10,mape_20,risk,last_update_date,error_data,last_training_date
1101,台泥,365,46.63,233,131,2.13,0.38,0.61,0.82,0.98,42.2,41.7,1,41.380001068115234,5.4790934821974915,4.008562506920459,11.205198897291694,7.023796608494997,0.6136388445811978,111/06/8,crawl_error,111/06/8
1102,亞洲水泥,365,45.07,268,96,3.61,0.44,0.6631,0.92,0.96,45.2,44.5,1,43.880001068115234,1.6701768494127822,3.408414447827285,3.1918949277066844,6.824610050523844,0.5354781434430943,111/06/8,crawl_error,111/06/8
1216,統一,365,69.15,209,155,1.85,0.58,0.76,0.83,0.95,65.0,64.9,2,66.41000366210938,3.1943236297446425,2.3859265597901134,4.570919791024044,2.859161648714366,0.5193872908483003,111/06/8,crawl_error,111/06/8
1301,台塑,365,95.77,281,83,4.25,2.66,1.63,1.18,0.98,106.5,105.0,1,105.75,1.546176448373407,1.926096964408165,1.3906391910889406,1.6389406796006873,1.130905552387578,111/06/8,crawl_error,111/06/8
1303,南亞塑膠,365,76.15,307,57,5.3,1.63,1.27,1.21,0.99,82.3,81.7,2,83.81999969482422,2.1276050854569784,2.340132425523317,2.27767966559374,2.6051398072832033,0.918465539564997,111/06/8,crawl_error,111/06/8
1326,台化,365,81.11,232,132,2.43,1.2,1.09,0.95,0.96,81.0,80.5,2,82.01000213623047,2.496721811512115,1.9527568795283405,2.7989196117865145,2.04607715227475,0.7687823591820208,111/06/8,crawl_error,111/06/8
1402,遠東新,365,29.52,239,125,2.75,0.19,0.44,1.04,0.96,31.6,31.75,0,31.459999084472656,1.9775084143459303,1.8192360802952856,6.89263684048225,6.260359074146973,0.37285350587342647,111/06/8,crawl_error,111/06/8
1590,亞德客,365,878.73,268,96,11.46,835.97,28.91,2.38,0.97,905.0,854.0,2,938.3900146484375,112.40742002757784,89.63664648691831,11.569119125520997,8.93668655521197,21.26889253049355,111/06/8,crawl_error,111/06/8
2002,中鋼,365,29.05,230,134,4.78,1.12,1.06,1.87,0.98,34.4,34.05,2,34.599998474121094,1.7541071926933463,2.521444551268871,4.312690380229528,6.43435176845976,0.4249690391199415,111/06/8,crawl_error,111/06/8
2105,正新,365,41.16,215,149,2.83,0.57,0.76,1.36,0.98,34.75,34.4,1,34.400001525878906,2.2880536314676,1.9211805862071496,6.153337916019415,4.802555695810858,0.4201738362054198,111/06/8,crawl_error,111/06/8
