,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
16,110/12/23,9341974,232799136,24.85,25.0,24.8,24.95,0.15,2356
15,110/12/22,6122340,151922626,24.9,24.95,24.75,24.8,0.05,2340
14,110/12/21,12107056,299912246,24.6,24.95,24.6,24.75,0.1,2501
13,110/12/20,16846309,415870371,24.8,24.85,24.6,24.65,-0.4,5734
12,110/12/17,16178488,404456846,24.85,25.1,24.75,25.05,0.2,3325
11,110/12/16,8882450,220134999,24.8,24.85,24.7,24.85,0.15,3145
10,110/12/15,10700176,264497143,24.65,24.8,24.65,24.7,0.0,3775
9,110/12/14,14833521,366875529,24.85,24.85,24.65,24.7,-0.3,4547
8,110/12/13,13484480,337362056,25.0,25.1,24.95,25.0,0.05,3987
7,110/12/10,19971295,497850855,25.0,25.05,24.85,24.95,-0.05,6288
6,110/12/09,28036116,701959704,25.1,25.25,24.95,25.0,-0.05,6609
5,110/12/08,41244226,1031890937,25.05,25.1,24.9,25.05,0.1,10323
4,110/12/07,14707365,365373375,24.8,24.95,24.7,24.95,0.05,4484
3,110/12/06,13313698,330501134,24.6,24.95,24.5,24.9,0.15,5749
2,110/12/03,17859042,441844107,24.6,24.85,24.55,24.75,0.2,4701
1,110/12/02,23536299,577024094,24.2,24.75,24.2,24.55,0.2,6146
0,110/12/01,45488819,1098355144,23.9,24.45,23.9,24.35,0.65,8596
21,110/11/30,69353102,1662718814,24.25,24.5,23.7,23.7,-0.6,7347
20,110/11/29,19437935,473260776,24.25,24.5,24.15,24.3,-0.15,5459
19,110/11/26,29961053,735083042,24.6,24.8,24.45,24.45,-0.45,7848
18,110/11/25,15239591,377987992,24.95,25.0,24.7,24.9,0.0,5454
17,110/11/24,16033998,399877091,24.9,25.1,24.8,24.9,0.15,3884
16,110/11/23,15457768,383949578,24.9,25.0,24.7,24.75,-0.25,4127
15,110/11/22,9982705,249843830,25.05,25.1,24.95,25.0,-0.05,3041
14,110/11/19,18032029,451164736,25.2,25.2,24.9,25.05,-0.05,5577
13,110/11/18,22631803,569689149,25.2,25.4,25.05,25.1,-0.05,7341
12,110/11/17,23684400,592225665,24.85,25.15,24.8,25.15,0.3,7166
11,110/11/16,11826618,293607602,24.75,24.9,24.7,24.85,0.1,4104
10,110/11/15,15519632,383356804,24.55,24.8,24.55,24.75,0.25,4235
9,110/11/12,15739282,385007034,24.4,24.55,24.35,24.5,0.15,3823
8,110/11/11,11848039,288954258,24.4,24.45,24.3,24.35,-0.1,3619
7,110/11/10,16311593,397473227,24.3,24.45,24.25,24.45,0.25,4652
6,110/11/09,92062917,2219483918,24.7,24.7,23.7,24.2,-0.5,22221
5,110/11/08,15018636,369719346,24.65,24.7,24.55,24.7,0.05,2911
4,110/11/05,5503493,134961966,24.45,24.65,24.4,24.65,0.15,2398
3,110/11/04,6758883,166303052,24.6,24.7,24.5,24.5,0.0,1915
2,110/11/03,6047525,147991737,24.4,24.55,24.4,24.5,0.15,2325
1,110/11/02,13385706,327537557,24.6,24.7,24.35,24.35,-0.2,4892
0,110/11/01,8686616,213887632,24.75,24.85,24.55,24.55,-0.15,3050
19,110/10/29,15254101,375843462,24.7,24.8,24.5,24.7,-0.15,3905
18,110/10/28,6521744,161922683,24.75,24.95,24.75,24.85,-0.05,2433
17,110/10/27,9649911,239783842,24.8,24.95,24.75,24.9,-0.05,2813
16,110/10/26,18696262,466144024,24.75,25.0,24.7,24.95,0.35,4957
15,110/10/25,6569659,161930438,24.65,24.8,24.55,24.6,-0.1,1841
14,110/10/22,5780743,143016972,24.8,24.9,24.65,24.7,-0.3,2172
13,110/10/21,14038160,350241204,24.85,25.0,24.7,25.0,0.2,2147
12,110/10/20,10223506,252726653,24.8,24.9,24.5,24.8,0.05,3391
11,110/10/19,13302209,331625779,25.1,25.1,24.7,24.75,-0.2,4323
10,110/10/18,18060537,449861221,24.7,25.0,24.65,24.95,0.25,5212
9,110/10/15,16242792,399334549,24.25,24.7,24.25,24.7,0.5,5648
8,110/10/14,11281388,274133376,24.55,24.6,24.2,24.2,-0.2,3021
7,110/10/13,8365047,205010388,24.6,24.7,24.4,24.4,-0.1,2874
6,110/10/12,13326384,324384576,24.25,24.5,24.15,24.5,0.05,3115
5,110/10/08,6770383,166122070,24.75,24.75,24.45,24.45,-0.1,2428
4,110/10/07,9974109,244789246,24.55,24.6,24.4,24.55,0.1,2791
3,110/10/06,20089799,488495176,24.2,24.6,24.1,24.45,0.4,5045
2,110/10/05,15453058,371375126,24.1,24.2,23.95,24.05,-0.15,5246
1,110/10/04,8768245,212306373,24.25,24.35,24.15,24.2,0.0,2584
0,110/10/01,21884313,530081960,24.5,24.6,24.1,24.2,-0.5,7258
19,110/09/30,13096063,321748282,24.4,24.75,24.35,24.7,0.3,2757
18,110/09/29,16971564,413870948,24.5,24.6,24.3,24.4,-0.2,4981
17,110/09/28,8108303,199865475,24.6,24.8,24.55,24.6,-0.2,2686
16,110/09/27,12835971,317963733,24.65,24.9,24.5,24.8,0.15,3809
15,110/09/24,7658814,189281500,24.9,24.95,24.55,24.65,-0.15,3063
14,110/09/23,11128558,274693310,24.5,24.8,24.45,24.8,0.5,3056
13,110/09/22,25245614,613832888,24.45,24.5,24.15,24.3,-0.45,7246
12,110/09/17,29411992,731175872,25.05,25.1,24.75,24.75,-0.3,5020
11,110/09/16,16890389,423546346,25.0,25.2,25.0,25.05,-0.05,5111
10,110/09/15,16232497,406398680,25.05,25.1,24.9,25.1,0.0,4560
9,110/09/14,18021236,451746379,25.0,25.3,24.95,25.1,0.15,4928
8,110/09/13,12739615,317070424,24.75,24.95,24.7,24.95,0.2,3621
7,110/09/10,13405339,331783410,24.6,24.85,24.6,24.75,0.15,3849
6,110/09/09,13098212,321467569,24.5,24.65,24.45,24.6,-0.05,2839
5,110/09/08,21806599,537253467,24.55,24.75,24.5,24.65,0.35,6348
4,110/09/07,19384434,471857284,24.5,24.5,24.25,24.3,-0.2,5120
3,110/09/06,16142882,395658698,24.7,24.7,24.45,24.5,-0.2,5220
2,110/09/03,13007288,320797090,24.6,24.8,24.5,24.7,0.2,3667
1,110/09/02,17401292,427609177,24.65,24.8,24.5,24.5,-0.4,6374
0,110/09/01,16538257,411007306,24.6,25.0,24.6,24.9,-0.1,5985
21,110/08/31,26854364,665828243,24.9,25.0,24.5,25.0,0.0,6630
20,110/08/30,19185443,476482070,24.6,25.0,24.6,25.0,0.4,6026
19,110/08/27,19246177,471622924,24.2,24.6,24.15,24.6,0.3,5361
18,110/08/26,13401610,325936581,24.5,24.55,24.15,24.3,-0.2,3475
17,110/08/25,16635740,405311653,24.5,24.5,24.15,24.5,0.05,4628
16,110/08/24,19529804,474402715,24.2,24.5,24.05,24.45,0.3,5395
15,110/08/23,23389097,563240862,23.95,24.25,23.9,24.15,0.5,5479
14,110/08/20,34947552,824956717,23.7,23.85,23.3,23.65,0.3,9741
13,110/08/19,59893645,1405991577,23.8,24.0,23.15,23.35,-0.55,15577
12,110/08/18,62264379,1466916624,23.5,23.95,23.2,23.9,0.2,12180
11,110/08/17,38771267,919818258,24.05,24.05,23.45,23.7,-0.35,11357
10,110/08/16,44811174,1077160635,23.75,24.3,23.75,24.05,0.35,10339
9,110/08/13,66101052,1576617711,24.45,24.45,23.55,23.7,-0.7,21696
8,110/08/12,40837340,991195835,24.3,24.65,24.1,24.4,0.15,13659
7,110/08/11,199782806,4846516169,25.45,25.5,23.8,24.25,-1.35,56938
6,110/08/10,27429641,700286809,25.7,25.8,25.3,25.6,-0.2,5960
5,110/08/09,23939963,613451399,25.6,25.8,25.35,25.8,0.1,5127
4,110/08/06,21122762,544365796,25.9,25.9,25.65,25.7,-0.25,3452
3,110/08/05,11364520,294311862,25.85,25.95,25.75,25.95,0.1,3616
2,110/08/04,10178880,262590918,25.75,25.85,25.7,25.85,0.05,3101
1,110/08/03,10754704,276398386,25.8,25.8,25.55,25.8,0.15,3779
0,110/08/02,13222269,337282065,25.45,25.65,25.3,25.65,0.25,3748
21,110/07/30,16118939,407980843,25.15,25.4,25.15,25.4,+0.05,3779
20,110/07/29,19864347,501655792,25.05,25.4,25.0,25.35,+0.30,4562
19,110/07/28,20125832,502374650,25.0,25.15,24.85,25.05,-0.15,8104
18,110/07/27,16440591,414825416,25.4,25.4,25.1,25.2,-0.10,6279
17,110/07/26,19715901,501536103,25.7,25.75,25.3,25.3,-0.40,7682
16,110/07/23,13358502,343255686,25.65,25.75,25.65,25.7,+0.15,3924
15,110/07/22,23247456,593455621,25.4,25.65,25.4,25.55,+0.15,6379
14,110/07/21,30174510,766806622,25.55,25.6,25.25,25.4,-0.15,11616
13,110/07/20,16806642,429566019,25.65,25.65,25.45,25.55,-0.25,7187
12,110/07/19,17986080,462881048,25.75,25.9,25.6,25.8,-0.10,5743
11,110/07/16,33627931,861901235,25.45,25.9,25.4,25.9,+0.45,7913
10,110/07/15,30611981,774438960,25.3,25.55,25.25,25.45,+0.10,9305
9,110/07/14,29215189,742867200,25.45,25.6,25.35,25.35,-0.05,7302
8,110/07/13,29592381,752865153,25.55,25.6,25.3,25.4,-0.10,10721
7,110/07/12,40860922,1046132926,25.65,25.8,25.4,25.5,-0.05,13211
6,110/07/09,117101429,3008485544,25.65,25.75,25.35,25.55,X0.00,30595
5,110/07/08,85526851,2326758066,27.25,27.3,27.1,27.15,+0.15,15588
4,110/07/07,70326655,1909085688,27.45,27.45,26.9,27.0,-0.50,18247
